Market,Date,Receipt total,Article name,Sum
coop,2020-10-20,766.69,BLANDFARS 20% 50/50,"75,25"
coop,2020-10-20,766.69,BLANDFARS 20% 50/50,"75,85"
coop,2020-10-20,766.69,BLOMKAL GRÖN,"21,18"
coop,2020-10-20,766.69,BLOMKAL ST,"21,95"
coop,2020-10-20,766.69,BRYSSEL NAT 50OG,"17,95"
coop,2020-10-20,766.69,CITRON LIME,"17,95"
coop,2020-10-20,766.69,PANT 1KR BURK 1X1KR,"1,00"
coop,2020-10-20,766.69,CREME FRAICHE 34%,"49,00"
coop,2020-10-20,766.69,DARK TEMPTATION,"41,95"
coop,2020-10-20,766.69,DRYCK VATTENM/PARON,"13,95"
coop,2020-10-20,766.69,GURKA STYCK,"25,90"
coop,2020-10-20,766.69,HALLON ACAI,"17,95"
coop,2020-10-20,766.69,PANT 1KR BURK 1X1KR,"1,00"
coop,2020-10-20,766.69,INTENZO XLT,"41,95"
coop,2020-10-20,766.69,KYCKLING FARS Medlem M,"99,80"
coop,2020-10-20,766.69,KYCKLINGFILE,"169,90"
coop,2020-10-20,766.69,MULTIVITAMINDRINK,"13,50"
coop,2020-10-20,766.69,ORIGINAL KRAMIG HAL,"19,50"
coop,2020-10-20,766.69,PHILADELP ORIGINAL,"39,90"
coop,2020-10-20,766.69,SATSUMAS,"11,81"
coop,2020-10-20,766.69,SKÁNERÖST,"41,95"
coop,2020-10-20,766.69,SMÖR OSALTAT,"39,95"
coop,2020-10-20,766.69,SQUEEZY JORDGSYLT,"27,95"
coop,2020-10-20,766.69,4TOMATER KROSSADE,"11,95"
coop,2020-10-20,766.69,VISPGRADDE 36%,"39,95"
coop,2020-10-20,766.69,WHITE PEACH,"17,95"
coop,2020-10-20,766.69,PANT 1KR BURK 1X1KR,"1,00"
coop,2020-10-20,766.69,SUMMERING RABATTER DETTA KÖP,"211,35"
coop,2020-10-20,766.69,ATT BETALA ( ARTIKLAR ),"766,69"
coop,2020-10-20,766.69,Celsius för 32kr,"-3,90"
coop,2020-10-20,766.69,Kaffe 59kr,"-66,85"
coop,2020-10-20,766.69,"Blandfärs 49,90/kg","-50,50"
coop,2020-10-20,766.69,Philadelphia 10kr,"-9,95"
coop,2020-10-20,766.69,Philadelphia 10kr,"-9,95"
coop,2020-10-20,766.69,Kyckling,"-25,05"
coop,2020-10-20,766.69,Kyckling,"-25,05"
coop,2020-10-27,794.59,CREME FRAICHE 34%,"49,00"
coop,2020-10-27,794.59,FRÜKOSTFLINGOR SPEC,"21,50"
coop,2020-10-27,794.59,GETOST ST MAURE Kampanj,"25,00"
coop,2020-10-27,794.59,GODIS LÖSVIKT,"104,09"
coop,2020-10-27,794.59,GUACAMOLE DIP MIX,"21,90"
coop,2020-10-27,794.59,GURKA STYCK,"33,90"
coop,2020-10-27,794.59,LAXFILE HELSIDA BỆN Kampanj,"159,19"
coop,2020-10-27,794.59,LÖK VIT G,"22,95"
coop,2020-10-27,794.59,ÖLIVER HALKIDIKI UR,"26,50"
coop,2020-10-27,794.59,PUMPA HALLOWEN,"26,91"
coop,2020-10-27,794.59,SKALKNIV CM,"79,00"
coop,2020-10-27,794.59,SMÖR OSALTAT,"39,95"
coop,2020-10-27,794.59,TOMAT PLOM-BABY,"30,00"
coop,2020-10-27,794.59,TORTILLA CHIPS CHEE,"13,95"
coop,2020-10-27,794.59,TORTILLA ORIGINAL L,"20,95"
coop,2020-10-27,794.59,VISPGRADDE 36%,"40,95"
coop,2020-10-27,794.59,YOGGI ORIG JDG/SMU,"19,50"
coop,2020-10-27,794.59,AGG 24-PACK 1428GR,"79,90"
coop,2020-10-27,794.59,ÖLKORV VITLÖK,"42,50"
coop,2020-10-27,794.59,SUMMERING RABATTER DETTA KÖP,"63,05"
coop,2020-10-27,794.59,ATT BETALA ( ARTIKLAR ),"794,59"
coop,2020-10-27,794.59,"Lösvitktsgodis 39,90kr/k","-52,15"
coop,2020-10-27,794.59,gurka,"-10,90"
coop,2020-10-29,794.59,AVOCADO 3-PACK,"44,95"
coop,2020-10-29,794.59,GODIS LÖSVIKT,"59,16"
coop,2020-10-29,794.59,KEXCHOKLAD MINI,"17,95"
coop,2020-10-29,794.59,MAX SPEARMINT,"29,00"
coop,2020-10-29,794.59,OB PROCOMFORT SUPER,"25,95"
coop,2020-10-29,794.59,ORIGINALROST,"26,95"
coop,2020-10-29,794.59,PAPRIKA GUL STYCK,"23,85"
coop,2020-10-29,794.59,PLOPP MINI PASE,"17,95"
coop,2020-10-29,794.59,PROCOMFORT SUPER,"99,90"
coop,2020-10-29,794.59,ULTRA LONG + VP Kampanj,"34,90"
coop,2020-10-29,794.59,ULTRA NIGHT VP Kampanj,"34,90"
coop,2020-10-29,794.59,WERTHERS ORIGINAL,"14,50"
coop,2020-10-29,794.59,SUMMERING RABATTER DETTA KÖP,"34,54"
coop,2020-10-29,794.59,ATT BETALA ( ARTIKLAR ),"395,42"
coop,2020-10-29,794.59,"Lösvitktsgodis 39,90kr/k","-29,64"
coop,2020-10-29,794.59,MINI BITAR CHOKLAD FÖR 35K,"-0,90"
coop,2020-11-05,794.59,CHILIPULVER,"22,50"
coop,2020-11-05,794.59,CITY PULSE,"17,95"
coop,2020-11-05,794.59,PANT 1KR BURK 1X1KR,"1,00"
coop,2020-11-05,794.59,DEO CITRUS ESSENS,"19,95"
coop,2020-11-05,794.59,FILTER OBLEKT 1X4,"12,95"
coop,2020-11-05,794.59,FLANKSTEK I BIT,"174,21"
coop,2020-11-05,794.59,GURKA STYCK SE,"29,90"
coop,2020-11-05,794.59,OLĪVOLJA FRUKTĪG,"79,95"
coop,2020-11-05,794.59,ORIGINAL,"21,50"
